size_bytes,last_modified,service_date,file_url
1495940,2024-05-01 04:00:21+00:00,2020-02-20,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-20-subway-on-time-performance-v1.parquet
1483945,2024-05-01 03:18:36+00:00,2020-02-21,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-21-subway-on-time-performance-v1.parquet
1013388,2024-05-01 04:12:43+00:00,2020-02-22,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-22-subway-on-time-performance-v1.parquet
901832,2024-05-01 02:36:48+00:00,2020-02-23,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-23-subway-on-time-performance-v1.parquet
1503136,2024-05-01 04:35:47+00:00,2020-02-24,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-24-subway-on-time-performance-v1.parquet
1497622,2024-05-01 03:59:00+00:00,2020-02-25,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-25-subway-on-time-performance-v1.parquet
1529149,2024-05-01 03:41:40+00:00,2020-02-26,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-26-subway-on-time-performance-v1.parquet
1491350,2024-05-01 04:06:24+00:00,2020-02-27,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-27-subway-on-time-performance-v1.parquet
1476787,2024-05-01 02:13:05+00:00,2020-02-28,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-28-subway-on-time-performance-v1.parquet
1018496,2024-05-01 03:04:38+00:00,2020-02-29,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-02-29-subway-on-time-performance-v1.parquet
892620,2024-05-01 04:03:56+00:00,2020-03-01,https://performancedata.mbta.com/lamp/subway-on-time-performance-v1/2020-03-01-subway-on-time-performance-v1.parquet
